1084-2015,1085-2015,1086-2015,1087-2015,1088-2015,1089-2015,1090-2015,1091-2015,1092-2015,1093-2015,1094-2015,1095-2015,1096-2015,1097-2015,1098-2015,1099-2015,1100-2015,1101-2015,1102-2015,1103-2015,1104-2015,1105-2015,1518-2016,1529-2016,1528-2016,1523-2016,1533-2016,362-2016,853-2016,855-2016,1542-2016,295-2016,1535-2016,1526-2016,1539-2016,1546-2016,1493-2016,1492-2016,1481-2016,1491-2016,1749-2017,1639-2017,1201-2017,1640-2017,1750-2017,1202-2017,1641-2017,1751-2017,1752-2017,1642-2017,1392-2017,1203-2017,1576-2017,1753-2017,1393-2017,1643-2017,1644-2017,1754-2017,275-2017,1645-2017,1394-2017,1395-2017,1646-2017,1396-2017,1204-2017,1647-2017,1397-2017,1648-2017,1205-2017,1649-2017,1398-2017,1650-2017,1399-2017,1400-2017,1206-2017,1651-2017,227-2017,1755-2017,1042-2017,422-2017,1652-2017,1207-2017,420-2017,1653-2017,421-2017,1208-2017,1654-2017,1655-2017,1756-2017,423-2017,1209-2017,1757-2017,276-2017,424-2017,1656-2017,1210-2017,425-2017,720-2017,1758-2017,426-2017,1759-2017,427-2017,721-2017,833-2017,1657-2017,722-2017,1401-2017,1814-2017,834-2017,1402-2017,1760-2017,835-2017,836-2017,1211-2017
WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,MendotaBeach13,MononaBeach11,MononaBeach16,WaubesaPier6,MendotaBeach12,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier5,MononaPier1,WaubesaPier5,WaubesaPier6,MononaPier1,WaubesaPier5,WaubesaPier6,WaubesaPier6,WaubesaPier5,MononaPier21,MononaPier1,MononaPier9,WaubesaPier6,MononaPier21,WaubesaPier5,WaubesaPier5,WaubesaPier6,MendotaBeach13,WaubesaPier5,MononaPier21,MononaPier21,WaubesaPier5,MononaPier21,MononaPier1,WaubesaPier5,MononaPier21,WaubesaPier5,MononaPier1,WaubesaPier5,MononaPier21,WaubesaPier5,MononaPier21,MononaPier21,MononaPier1,WaubesaPier5,Mendota3,WaubesaPier6,MendotaPier9,MendotaPier15,WaubesaPier5,MononaPier1,MendotaPier15,WaubesaPier5,MendotaPier15,MononaPier1,WaubesaPier5,WaubesaPier5,WaubesaPier6,MendotaPier15,MononaPier1,WaubesaPier6,MendotaBeach13,MendotaPier15,WaubesaPier5,MononaPier1,MendotaPier15,MendotaPier31,WaubesaPier6,MendotaPier15,WaubesaPier6,MendotaPier15,MendotaPier31,MendotaPier35,WaubesaPier5,MendotaPier31,MononaPier21,WaubesaPier8,MendotaPier35,MononaPier21,WaubesaPier6,MendotaPier35,MendotaPier35,MononaPier1
Waubesa,Waubesa,Waubesa,Waubesa,Waubesa,Waubesa,Waubesa,Waubesa,Waubesa,Waubesa,Waubesa,Waubesa,Waubesa,Waubesa,Waubesa,Waubesa,Waubesa,Waubesa,Waubesa,Waubesa,Waubesa,Waubesa,Waubesa,Waubesa,Waubesa,Waubesa,Waubesa,Mendota,Monona,Monona,Waubesa,Mendota,Waubesa,Waubesa,Waubesa,Waubesa,Waubesa,Waubesa,Waubesa,Waubesa,Waubesa,Waubesa,Monona,Waubesa,Waubesa,Monona,Waubesa,Waubesa,Waubesa,Waubesa,Monona,Monona,Monona,Waubesa,Monona,Waubesa,Waubesa,Waubesa,Mendota,Waubesa,Monona,Monona,Waubesa,Monona,Monona,Waubesa,Monona,Waubesa,Monona,Waubesa,Monona,Waubesa,Monona,Monona,Monona,Waubesa,Mendota,Waubesa,Mendota,Mendota,Waubesa,Monona,Mendota,Waubesa,Mendota,Monona,Waubesa,Waubesa,Waubesa,Mendota,Monona,Waubesa,Mendota,Mendota,Waubesa,Monona,Mendota,Mendota,Waubesa,Mendota,Waubesa,Mendota,Mendota,Mendota,Waubesa,Mendota,Monona,Waubesa,Mendota,Monona,Waubesa,Mendota,Mendota,Monona
4/1/15,4/2/15,4/4/15,4/6/15,4/8/15,4/9/15,4/11/15,4/12/15,4/14/15,4/15/15,4/16/15,4/17/15,4/18/15,4/19/15,4/23/15,4/24/15,4/25/15,4/26/15,4/27/15,4/28/15,4/29/15,4/30/15,4/4/16,4/5/16,4/6/16,4/8/16,4/10/16,4/12/16,4/12/16,4/12/16,4/12/16,4/12/16,4/13/16,4/14/16,4/15/16,4/18/16,4/21/16,4/23/16,4/28/16,4/29/16,4/1/17,4/1/17,4/1/17,4/2/17,4/3/17,4/3/17,4/4/17,4/4/17,4/6/17,4/6/17,4/7/17,4/7/17,4/8/17,4/8/17,4/8/17,4/8/17,4/9/17,4/9/17,4/9/17,4/10/17,4/10/17,4/11/17,4/12/17,4/12/17,4/12/17,4/13/17,4/14/17,4/14/17,4/14/17,4/15/17,4/15/17,4/16/17,4/16/17,4/18/17,4/18/17,4/18/17,4/19/17,4/19/17,4/20/17,4/20/17,4/20/17,4/20/17,4/21/17,4/21/17,4/22/17,4/22/17,4/22/17,4/22/17,4/22/17,4/23/17,4/23/17,4/23/17,4/23/17,4/24/17,4/24/17,4/24/17,4/25/17,4/25/17,4/25/17,4/26/17,4/26/17,4/27/17,4/27/17,4/27/17,4/28/17,4/28/17,4/28/17,4/28/17,4/28/17,4/29/17,4/29/17,4/29/17,4/30/17,4/30/17
13:00:00,17:00:00,15:03:00,16:00:00,15:09:00,15:13:00,15:30:00,10:15:00,13:15:00,16:04:00,15:13:00,14:17:00,16:19:00,13:30:00,14:16:00,10:06:00,14:30:00,10:51:00,11:08:00,12:17:00,11:03:00,0:15:00,17:25:00,15:39:00,14:45:00,13:24:00,15:17:00,11:48:00,12:00:00,12:25:00,15:45:00,16:00:00,15:11:00,16:05:00,14:11:00,16:59:00,9:50:00,17:11:00,11:16:00,20:04:00,9:46:00,10:36:00,16:40:00,10:27:00,10:20:00,13:05:00,13:36:00,16:44:00,16:03:00,17:19:00,13:30:00,17:30:00,10:01:00,12:09:00,12:55:00,15:36:00,10:39:00,12:52:00,17:13:00,9:50:00,10:32:00,10:04:00,9:16:00,11:20:00,18:10:00,16:30:00,11:14:00,14:10:00,17:55:00,11:12:00,12:30:00,10:36:00,12:56:00,8:42:00,13:52:00,13:57:00,13:15:00,13:24:00,7:39:00,8:54:00,9:15:00,17:50:00,6:49:00,13:48:00,8:35:00,12:30:00,12:34:00,12:36:00,18:42:00,10:52:00,13:40:00,16:09:00,16:30:00,6:58:00,9:37:00,18:05:00,7:43:00,13:06:00,15:35:00,7:17:00,12:40:00,8:20:00,12:00:00,15:02:00,10:26:00,11:32:00,11:34:00,14:00:00,16:52:00,12:22:00,12:35:00,16:26:00,13:47:00,16:00:00
0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.666666666667,0.666666666667,0.666666666667,0.666666666667,0.333333333333,0.333333333333,0.666666666667,0.666666666667,0.333333333333,0.666666666667,0.666666666667,0.666666666667,0.666666666667,0.333333333333,0.333333333333,0.333333333333,0.333333333333,1.0,0.333333333333,0.333333333333,0.333333333333,0.666666666667,0.333333333333,0.333333333333,0.666666666667,1.0,0.333333333333,0.666666666667,0.333333333333,0.333333333333,0.666666666667,0.666666666667,0.333333333333,0.333333333333,0.666666666667,0.333333333333,0.333333333333,0.666666666667,0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.666666666667,0.333333333333,0.333333333333,0.333333333333,0.666666666667,0.333333333333,0.333333333333,0.333333333333,1.0,1.0,0.333333333333,1.0,0.666666666667,0.333333333333,0.666666666667,0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.666666666667,0.333333333333,1.0,0.333333333333,1.0,0.333333333333,0.333333333333,1.0,0.333333333333,0.333333333333,1.0,0.333333333333,0.666666666667,0.666666666667,0.666666666667,0.333333333333,0.666666666667,0.333333333333,0.333333333333,0.666666666667,0.333333333333,0.666666666667,0.666666666667,0.666666666667,0.333333333333
0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.666666666667,0.666666666667,0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.666666666667,0.666666666667,1.0,0.333333333333,0.666666666667,0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.666666666667,0.333333333333,0.666666666667,0.666666666667,0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.666666666667,0.666666666667,0.666666666667,0.333333333333,0.333333333333,0.666666666667,0.333333333333,0.666666666667,0.333333333333,0.666666666667,0.333333333333,0.333333333333,0.666666666667,0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.666666666667,0.666666666667,0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.666666666667,0.666666666667,0.333333333333,0.666666666667,0.333333333333,0.666666666667,0.666666666667,0.333333333333,0.333333333333,0.666666666667,0.333333333333,0.333333333333,0.333333333333,1.0,0.333333333333,0.666666666667,0.333333333333,0.666666666667,0.666666666667,0.333333333333,0.333333333333,0.666666666667,0.333333333333,0.666666666667,0.333333333333,0.666666666667,0.333333333333,0.333333333333,0.666666666667,0.333333333333
0.333333333333,0.666666666667,0.666666666667,0.333333333333,0.666666666667,0.333333333333,0.666666666667,0.666666666667,0.333333333333,0.666666666667,0.333333333333,0.333333333333,1.0,0.666666666667,1.0,0.333333333333,0.666666666667,0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.666666666667,1.0,0.666666666667,0.333333333333,1.0,0.666666666667,0.333333333333,0.333333333333,0.666666666667,0.333333333333,0.333333333333,0.666666666667,0.666666666667,0.666666666667,0.333333333333,0.666666666667,0.666666666667,1.0,0.666666666667,0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.666666666667,0.333333333333,0.666666666667,1.0,1.0,0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.666666666667,0.666666666667,0.666666666667,0.666666666667,0.333333333333,0.666666666667,1.0,0.666666666667,0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.666666666667,1.0,1.0,1.0,0.666666666667,0.666666666667,0.666666666667,0.333333333333,0.666666666667,0.333333333333,0.333333333333,0.333333333333,1.0,0.333333333333,0.666666666667,0.333333333333,0.666666666667,0.333333333333,0.666666666667,0.333333333333,0.333333333333,0.666666666667,0.333333333333,0.333333333333,0.666666666667,0.333333333333,0.333333333333,0.666666666667,0.333333333333,0.333333333333,0.333333333333,0.666666666667,0.333333333333,0.666666666667,0.666666666667,0.333333333333,0.666666666667,0.333333333333,0.333333333333,0.333333333333,0.666666666667,1.0,0.333333333333,0.333333333333,0.666666666667
0.670750382848,0.738131699847,0.744257274119,0.820826952527,0.716692189893,0.716692189893,0.828483920368,0.744257274119,0.837672281776,0.803981623277,0.906584992343,0.95865237366,0.897396630934,0.903522205207,0.799387442573,0.782542113323,0.785604900459,0.782542113323,0.820826952527,0.877488514548,0.87595712098,0.868300153139,0.696784073507,0.690658499234,0.696784073507,0.675344563553,0.66921898928,0.655436447167,0.7932618683,0.702909647779,0.76875957121,0.744257274119,0.689127105666,0.71056661562,0.744257274119,0.969372128637,0.879019908116,0.950995405819,0.820826952527,0.816232771822,0.64471669219,0.66921898928,0.831546707504,0.716692189893,0.666156202144,0.655436447167,0.683001531394,0.745788667688,0.699846860643,0.701378254211,0.71056661562,0.787136294028,0.735068912711,0.721286370597,0.689127105666,0.716692189893,0.716692189893,0.745788667688,0.721286370597,0.744257274119,0.738131699847,0.702909647779,0.762633996937,0.707503828484,0.776416539051,0.776416539051,0.702909647779,0.7932618683,0.738131699847,0.802450229709,0.770290964778,0.837672281776,0.796324655436,0.730474732006,0.785604900459,0.863705972435,0.94180704441,0.879019908116,0.781010719755,0.811638591118,0.837672281776,0.776416539051,0.750382848392,0.840735068913,0.689127105666,0.803981623277,0.868300153139,0.862174578867,0.923430321593,0.781010719755,0.928024502297,0.964777947933,1.0,0.811638591118,0.848392036753,0.848392036753,0.872894333844,0.840735068913,0.909647779479,0.918836140888,0.897396630934,0.750382848392,0.75191424196,0.765696784074,0.865237366003,0.75191424196,0.820826952527,0.868300153139,0.799387442573,0.7932618683,0.842266462481,0.75191424196,0.72741194487,0.744257274119
0.558333333333,0.533333333333,0.525,0.675,0.65,0.616666666667,0.616666666667,0.625,0.925,0.683333333333,0.758333333333,0.741666666667,0.675,0.608333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.916666666667,0.608333333333,0.616666666667,0.633333333333,0.583333333333,0.616666666667,0.6875,0.793333333333,0.8,0.616666666667,0.791666666667,0.675,0.633333333333,0.591666666667,0.591666666667,0.966666666667,0.891666666667,1.0,1.0,0.541666666667,1.0,1.0,0.875,0.733333333333,1.0,0.833333333333,0.666666666667,0.55,0.833333333333,0.958333333333,0.958333333333,0.9,0.708333333333,0.933333333333,0.875,0.916666666667,0.766666666667,1.0,0.916666666667,0.833333333333,0.966666666667,0.916666666667,0.958333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.291666666667,1.0,0.591666666667,0.666666666667,1.0,0.708333333333,1.0,1.0,1.0,1.0,0.65,1.0,1.0,0.716666666667,0.291666666667,1.0,1.0,0.25,1.0,1.0,0.166666666667,1.0,0.666666666667,0.425,0.55,1.0,0.4,1.0,1.0,0.541666666667,1.0,0.708333333333,0.65,0.641666666667,1.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
