477-2015,205-2015,1072-2015,478-2015,206-2015,1073-2015,207-2015,560-2015,664-2015,962-2015,1210-2015,479-2015,710-2015,755-2015,1263-2015,1250-2015,96-2015,978-2015,771-2015,49-2015,532-2015,545-2015,741-2015,811-2015,1074-2015,846-2015,1192-2015,906-2015,480-2015,208-2015,1075-2015,77-2015,1213-2015,481-2015,209-2015,812-2015,1076-2015,324-2015,577-2015,482-2015,210-2015,813-2015,1077-2015,483-2015,645-2015,211-2015,772-2015,1078-2015,814-2015,97-2015,1193-2015,78-2015,869-2015,815-2015,854-2015,870-2015,816-2015,871-2015,817-2015,1194-2015,818-2015,819-2015,286-2015,749-2016,642-2016,831-2016,1547-2016,655-2016,730-2016,512-2016,986-2016,138-2016,1633-2016,1112-2016,1127-2016,418-2016,1355-2016,677-2016,1333-2016,108-2016,713-2016,1565-2016,239-2016,591-2016,610-2016,1008-2016,1106-2016,21-2016,1321-2016,1255-2016,1044-2016,1371-2016,388-2016,85-2016,1273-2016,944-2016,442-2016,506-2016,1144-2016,1367-2016,22-2016,141-2016,649-2016,347-2016,508-2016,1224-2016,1375-2016,346-2016,511-2016,1373-2016,1153-2016,678-2016,745-2016,500-2016,1366-2016,1054-2016,848-2016,495-2016,1370-2016,140-2016,1169-2016,832-2016,747-2016,70-2016,1347-2016,393-2016,386-2016,652-2016,681-2016,611-2016,14-2016,1107-2016,238-2016,1043-2016,224-2016,1272-2016,943-2016,1316-2016,746-2016,672-2016,142-2016,1049-2016,676-2016,84-2016,542-2017,64-2017,206-2017,952-2017,785-2017,49-2017,1629-2017,331-2017,1105-2017,1084-2017,1742-2017,543-2017,665-2017,1009-2017,1484-2017,1743-2017,1888-2017,1281-2017,544-2017,1744-2017,1889-2017,1890-2017,1282-2017,95-2017,545-2017,1200-2017,1378-2017,1283-2017,1745-2017,332-2017,1010-2017,546-2017,666-2017,207-2017,1485-2017,547-2017,208-2017,548-2017,1011-2017,209-2017,667-2017,1572-2017,1379-2017,1486-2017,1834-2017,371-2017,1630-2017,549-2017,210-2017,1487-2017,786-2017,550-2017,668-2017,211-2017,1284-2017,96-2017,551-2017,1631-2017,212-2017,787-2017,1285-2017,413-2017,97-2017,552-2017,1488-2017,1380-2017,669-2017,553-2017,213-2017,788-2017,1489-2017,1286-2017,554-2017,214-2017,1490-2017,718-2017,555-2017,1381-2017,1491-2017,372-2017,789-2017,1835-2017,215-2017,671-2017,556-2017,216-2017,1492-2017,719-2017,557-2017,672-2017,217-2017,1632-2017,790-2017,1287-2017,1493-2017,98-2017,558-2017,1288-2017,1012-2017,559-2017,1494-2017,1382-2017,1289-2017,560-2017,218-2017,1495-2017,1290-2017,219-2017,791-2017,561-2017,1496-2017,1291-2017,1013-2017,562-2017,220-2017,1836-2017,792-2017,1383-2017,1573-2017,563-2017,1497-2017,1292-2017,564-2017,1498-2017,99-2017,565-2017,1499-2017,1293-2017,414-2017,566-2017,1574-2017,1134-2017,1633-2017,1384-2017,1500-2017,793-2017,1294-2017,567-2017,221-2017,794-2017,1501-2017,1295-2017,568-2017,222-2017,1502-2017,272-2017,1296-2017,569-2017,673-2017,223-2017,1503-2017,1385-2017,1297-2017,570-2017,224-2017,1504-2017,1298-2017,225-2017,571-2017,1299-2017,1505-2017,100-2017
9/1/15,9/1/15,9/1/15,9/2/15,9/2/15,9/2/15,9/3/15,9/3/15,9/3/15,9/3/15,9/3/15,9/3/15,9/3/15,9/3/15,9/3/15,9/3/15,9/3/15,9/3/15,9/3/15,9/3/15,9/3/15,9/3/15,9/3/15,9/3/15,9/3/15,9/3/15,9/3/15,9/3/15,9/4/15,9/4/15,9/4/15,9/4/15,9/4/15,9/5/15,9/5/15,9/5/15,9/5/15,9/5/15,9/5/15,9/6/15,9/6/15,9/6/15,9/6/15,9/7/15,9/7/15,9/7/15,9/7/15,9/7/15,9/7/15,9/7/15,9/9/15,9/9/15,9/10/15,9/12/15,9/14/15,9/15/15,9/16/15,9/17/15,9/19/15,9/20/15,9/22/15,9/23/15,9/23/15,9/1/16,9/1/16,9/1/16,9/1/16,9/1/16,9/1/16,9/1/16,9/1/16,9/1/16,9/1/16,9/1/16,9/1/16,9/1/16,9/1/16,9/1/16,9/1/16,9/1/16,9/1/16,9/1/16,9/1/16,9/1/16,9/1/16,9/1/16,9/1/16,9/1/16,9/1/16,9/1/16,9/1/16,9/1/16,9/1/16,9/1/16,9/1/16,9/1/16,9/1/16,9/2/16,9/2/16,9/2/16,9/2/16,9/2/16,9/2/16,9/2/16,9/3/16,9/3/16,9/3/16,9/3/16,9/4/16,9/4/16,9/4/16,9/4/16,9/4/16,9/5/16,9/5/16,9/5/16,9/5/16,9/6/16,9/6/16,9/6/16,9/6/16,9/8/16,9/8/16,9/8/16,9/8/16,9/8/16,9/8/16,9/8/16,9/8/16,9/8/16,9/8/16,9/8/16,9/8/16,9/8/16,9/8/16,9/8/16,9/8/16,9/8/16,9/9/16,9/9/16,9/9/16,9/11/16,9/11/16,9/12/16,9/1/17,9/1/17,9/1/17,9/1/17,9/1/17,9/1/17,9/1/17,9/1/17,9/1/17,9/1/17,9/1/17,9/2/17,9/2/17,9/2/17,9/2/17,9/2/17,9/2/17,9/2/17,9/3/17,9/3/17,9/3/17,9/3/17,9/3/17,9/3/17,9/4/17,9/4/17,9/4/17,9/4/17,9/4/17,9/4/17,9/4/17,9/5/17,9/5/17,9/5/17,9/5/17,9/6/17,9/6/17,9/7/17,9/7/17,9/7/17,9/7/17,9/7/17,9/7/17,9/7/17,9/7/17,9/7/17,9/7/17,9/8/17,9/8/17,9/8/17,9/8/17,9/9/17,9/9/17,9/9/17,9/9/17,9/9/17,9/10/17,9/10/17,9/10/17,9/10/17,9/10/17,9/10/17,9/10/17,9/11/17,9/11/17,9/11/17,9/12/17,9/12/17,9/12/17,9/12/17,9/12/17,9/12/17,9/13/17,9/13/17,9/13/17,9/13/17,9/14/17,9/14/17,9/14/17,9/14/17,9/14/17,9/14/17,9/14/17,9/14/17,9/15/17,9/15/17,9/15/17,9/15/17,9/16/17,9/16/17,9/16/17,9/16/17,9/16/17,9/16/17,9/16/17,9/16/17,9/17/17,9/17/17,9/17/17,9/18/17,9/18/17,9/18/17,9/18/17,9/19/17,9/19/17,9/19/17,9/19/17,9/20/17,9/20/17,9/20/17,9/20/17,9/20/17,9/21/17,9/21/17,9/21/17,9/21/17,9/21/17,9/21/17,9/21/17,9/22/17,9/22/17,9/23/17,9/23/17,9/23/17,9/23/17,9/24/17,9/24/17,9/24/17,9/24/17,9/25/17,9/25/17,9/25/17,9/25/17,9/25/17,9/25/17,9/25/17,9/25/17,9/26/17,9/26/17,9/26/17,9/26/17,9/26/17,9/27/17,9/27/17,9/27/17,9/27/17,9/27/17,9/28/17,9/28/17,9/28/17,9/28/17,9/28/17,9/28/17,9/29/17,9/29/17,9/29/17,9/29/17,9/30/17,9/30/17,9/30/17,9/30/17,9/30/17
7:07:00,8:01:00,10:03:00,7:15:00,8:09:00,11:12:00,7:21:00,7:30:00,7:33:00,8:05:00,8:09:00,8:15:00,8:32:00,8:45:00,8:45:00,9:00:00,9:15:00,9:15:00,9:39:00,9:40:00,10:34:00,11:00:00,11:30:00,11:55:00,11:59:00,12:06:00,16:50:00,19:21:00,6:53:00,8:33:00,8:52:00,11:16:00,17:30:00,7:25:00,8:12:00,9:20:00,9:38:00,10:37:00,12:10:00,7:54:00,8:21:00,10:55:00,11:22:00,7:23:00,8:50:00,9:06:00,10:49:00,11:44:00,13:40:00,14:10:00,15:44:00,17:09:00,7:00:00,11:10:00,15:41:00,8:16:00,12:50:00,8:26:00,10:10:00,16:24:00,13:55:00,13:15:00,15:16:00,7:14:00,7:40:00,7:43:00,7:49:00,7:54:00,8:00:00,8:09:00,8:30:00,8:32:00,8:45:00,8:46:00,9:00:00,9:08:00,9:15:00,9:24:00,9:34:00,9:45:00,10:13:00,10:15:00,10:45:00,10:49:00,10:49:00,11:01:00,11:10:00,11:15:00,11:40:00,11:52:00,11:55:00,12:26:00,13:00:00,15:50:00,16:30:00,16:55:00,19:23:00,6:58:00,8:45:00,9:34:00,11:00:00,14:01:00,14:13:00,19:42:00,7:31:00,9:30:00,9:37:00,14:29:00,7:45:00,9:17:00,11:00:00,11:04:00,16:06:00,6:49:00,10:03:00,13:20:00,19:29:00,7:48:00,7:55:00,9:01:00,9:25:00,7:45:00,8:01:00,9:00:00,9:20:00,9:30:00,9:58:00,10:10:00,10:15:00,10:17:00,10:45:00,10:55:00,11:23:00,11:59:00,13:32:00,15:00:00,15:15:00,17:33:00,8:18:00,9:01:00,9:18:00,12:50:00,13:26:00,16:23:00,6:56:00,7:00:00,7:06:00,8:00:00,8:47:00,9:00:00,9:28:00,11:00:00,11:40:00,13:00:00,13:24:00,8:09:00,8:30:00,8:39:00,11:20:00,11:29:00,12:00:00,14:05:00,7:35:00,10:14:00,11:10:00,11:10:00,13:30:00,18:59:00,8:05:00,9:01:00,9:39:00,11:30:00,11:52:00,13:00:00,13:45:00,7:18:00,7:22:00,9:33:00,10:40:00,7:50:00,9:15:00,8:24:00,8:40:00,8:47:00,9:00:00,9:57:00,10:10:00,10:49:00,13:22:00,16:49:00,18:36:00,6:58:00,8:13:00,9:06:00,9:16:00,6:45:00,8:00:00,8:21:00,11:15:00,17:41:00,7:57:00,9:00:00,9:35:00,10:00:00,11:55:00,12:30:00,13:11:00,8:20:00,10:15:00,10:34:00,8:08:00,8:20:00,8:53:00,9:14:00,10:26:00,13:15:00,8:12:00,8:46:00,9:33:00,17:23:00,7:13:00,10:13:00,10:27:00,11:34:00,11:39:00,12:18:00,14:12:00,16:33:00,7:01:00,8:29:00,10:16:00,12:09:00,6:51:00,8:42:00,9:15:00,9:40:00,11:10:00,11:15:00,13:45:00,16:14:00,11:58:00,13:50:00,18:37:00,7:20:00,10:12:00,10:22:00,18:40:00,8:07:00,8:55:00,11:15:00,18:40:00,7:54:00,9:15:00,10:06:00,10:40:00,18:10:00,7:46:00,7:55:00,8:54:00,9:19:00,9:39:00,9:43:00,9:56:00,7:00:00,9:10:00,0:00:00,7:07:00,10:35:00,17:11:00,7:28:00,10:49:00,13:30:00,14:15:00,7:26:00,7:34:00,7:35:00,9:10:00,9:25:00,10:23:00,17:18:00,18:15:00,7:47:00,8:24:00,8:45:00,9:40:00,18:05:00,7:30:00,8:20:00,9:48:00,15:13:00,16:45:00,7:24:00,8:20:00,8:34:00,10:13:00,10:50:00,18:15:00,7:24:00,8:49:00,11:03:00,18:50:00,7:46:00,9:36:00,11:00:00,11:08:00,15:12:00
1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,2,2,1,1,1,2,1,1,1,1,2,1,1,1,1,1,2,3,1,1,2,1,2,2,1,2,1,3,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,2,2,2,1,1,1,1,1,1,1,1,2,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,2,1,0,0,0,2,0,0,0,0,2,0,0,0,0,0,1,0,0,0,2,0,1,1,0,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,2,1,2,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,2,1,1,1,2,1,1,1,3,1,2,1,1,2,1,1,2,2,1,2,2,1,1,1,1,2,1,2,1,1,2,1,1,2,1,1,1,2,1,2,1,2,1,2,1,1,1,2,1,2,2,1,2,2,1,1,2,1,2,1,2,1,1,1,1,2,1,1,1,2,1,1,2,1,1,1,1,2,2,1,1,1,1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,1,1,1,2,1,1,1,2,2,2,2,1,1,1,1,1,1,2,2,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,1,1,2,2,1,2,2,1,1,1,1,2,1,1,1,2,1,2,1,1,1,1,2,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,2,2,1,1,2,2,1,1,1,1,2,2,2,2,1,1,1,2,1,1,1,1,2,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1
1,2,2,1,2,2,2,2,1,3,2,1,1,1,1,2,2,2,2,2,2,1,1,1,2,1,2,1,1,2,2,3,2,1,2,1,2,1,1,2,2,1,2,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,3,3,1,1,1,1,2,2,3,1,2,1,1,1,2,1,1,1,2,3,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,3,1,1,2,1,1,2,1,1,1,1,1,1,2,1,2,1,1,1,1,1,2,1,1,1,2,1,1,2,1,3,2,1,1,1,1,1,2,1,1,1,2,1,1,2,1,1,1,1,1,3,2,2,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,2,1,2,3,2,2,1,1,1,2,2,2,1,2,1,1,2,1,1,1,1,2,2,2,1,2,1,2,1,1,2,1,3,1,2,2,1,1,1,2,1,1,3,1,1,1,1,1,3,1,1,1,3,1,3,1,2,1,1,2,1,1,2,1,1,1,1,1,2,1,1,1,2,1,2,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,2,1,2,1,1,1,2,1,1,2,1,1,2,1,1,1,1,2,3,1,3,2,1,2,2,1,2,1,2,1,3,1,1,1,2,1,1,2,1,2,1,1,2,1,1,1,2
2,1,1,2,1,1,1,1,2,1,1,1,1,1,1,2,1,1,2,1,1,2,2,2,1,1,1,1,2,2,1,1,1,2,2,2,1,2,2,1,1,1,1,2,2,1,1,1,1,1,1,3,1,1,1,2,1,3,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,2,1,1,1,1,2,2,2,1,1,2,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,2,2,2,1,2,2,2,1,2,1,1,2,1,3,1,1,1,1,1,1,1,2,1,1,2,1,1,1,2,1,1,2,1,1,1,2,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,2,1,2,1,1,2,1,1,2,2,2,1,2,2,2,1,1,2,2,1,1,2,2,1,1,2,1,1,1,2,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,2,1,2,1,1,1,2,1,2,2,2,1,3,1,1,1,2,2,2,1,2,2,2,2,1,1,2,2,2,1,1,1,1,2,1,1,1,2,1,2,2,2,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,1,2,1,2,1,2,1,1,1,2,2,1,2,2,2,3,2,1,1,1,1,1,1,2,1,1,1,2,2,1,1,2,2,2,2,1,2,2,1,1,2,1,1,2,1,1,2,2,2,1,3,1,1,2,1,2,1,1,1,1,1,1,2,1,1,1,1,2,1,3,2,2,2,2,2,2,1,2,1,1,1,1,2,1,1,2,2,1,2,2,2,2,1,1,1,1,1,1,2,2,1,3,2,1,1,1,1,2,1,1,2,1,2,2,1,2,2,2,2,1,1,2,2,2,1,2,2,2,3,3,3,1,1,2,3,3,1,3,1,1,1,2,2,1,2,2,2,1,2,1,1,2,1,1,1,1,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,2,1,2,3,3,2,1,2,1,2,2,2,1,3,3,1,1,1,1,1,2
73,71.2,73.2,74,72.5,74.5,73.4,77.2,72,71,74.7,75,77.9,75.9,77,74.8,75.2,74.1,78.8,72.3,74.1,79.5,81.1,78.8,78.1,77.9,81.7,80,78,75.6,75.6,79.9,80.1,78,73.9,73.9,77,74.5,77.7,78,74.5,76.1,78.3,78,77.7,75.4,79.2,78.3,78.8,78.8,77.7,78.4,69.3,68.5,74.5,68.4,71.6,70.3,66.2,71.8,72.1,72.3,70.9,73.4,75.3,75,73.9,74.1,75.2,74,74.8,74.1,73.4,74.6,75.7,73.4,75.2,75.1,70.3,73.4,76.2,75.2,71.5,75,74.8,75,73.4,76.3,77.7,68,75.6,76.8,73.9,76.5,74.7,75.6,75,71,73,75.4,74.1,77,78.6,74.1,72,72.9,74.5,75.2,71,74.3,73.6,74.1,75.6,70,74.7,76.5,77,73,74.8,74.5,73.6,73,73,73.9,74.5,74.7,74.5,73.9,73.1,75.2,74.5,74.5,74.1,75.7,76.8,76.1,77.6,76.6,72,73.1,74.8,74.7,74.1,75.2,67,69.8,68.7,67.5,68,67.8,71.3,71.9,71.1,69,72.7,67,68,69.1,70.2,70.5,70,69.8,68,71.2,69,69,72.9,73.4,70,70.9,69.8,69.8,70.9,69.1,71.4,68,67.1,65.1,68.7,65,60.6,65,66.2,64.9,65.7,66.7,68,66.9,66.7,68,67.2,64,65.3,66.2,68.9,63,64.9,64.2,67.3,69.3,64,66.7,63.7,64,66.6,66,68.9,64,66.2,68.5,68.5,68,65.1,64.5,67.5,72.9,68,66.2,67.8,77.5,68,69.8,69.3,71.6,71.1,71.4,69.8,70.2,70,66.9,69.8,72.9,71,71.6,66.9,70,69.1,71.6,71.6,70.5,73,71.8,71.1,68,69.8,70.7,70.7,69,67.1,70.5,72.7,67.1,69.1,70,69.8,74.8,72.9,73,68.9,71.6,70.1,73.2,70.5,73,71.6,76.5,73,73.4,73.4,75,74.8,77,75.2,75,72.6,70.8,74.3,76.1,74.3,77.9,78.8,75,74.1,72.7,74.5,75.6,69,68.7,70.9,68.7,69.8,66,67.5,68.2,69.4,71.1,71.6,67,65.1,67.5,67.3,66.7,61,68,68.7,71.1
86,67,70,86,64,70,63,29,93,74,57,97,117,120,120,62,59,60,95,55,60,73,120,120,70,120,71,91,85,64,75,78,67,67,64,120,80,110,120,50,64,120,75,73,83.2,57,66,75,120,55,64,85,120,120,110,120,120,120,70,74,120,120,72,120,56,85,81,120,89,120,120,80,76,120,120,80.2,69,60,85,49,120,78,100,120,120,120,120,106,120,106,120,90,120,75,120,120,70,120,120,95,120,85,120,120,77,120,100,120,61,110,120,120,117.8,77,95,113,120,93,100,80,120,105,120,82,75,120,86,120,120,120,85,120,100,120,37,120,120,78,120,120,85,120,120,87,71,46,50,115,120,74,74,110,90,84,90,91,120,120,120,95,70,120,105,75,70,70,105,75,103,71,93,85,75,97,120,120,97,50,100,120,59,120,120,68,120,120,120,120,69,120,56,120,73,120,90,120,120,77,120,65,90,52,78,120,120,120,82,120,120,120,120,120,97,120,120,80,120,73,120,49,120,120,66.2,120,120,76,71,120,120,69,120,120,105,120,84,65,120,120,120,70,120,104,120,120,120,120,120,120,79,120,120,75,120,30,120,120,120,120,88,96,120,120,120,100,120,120,120,120,53,96,120,84,120,103,120,110,55,120,120,45,120,120,68,90,120,75,120,59,120,41,120,120,120,72,120,120,98,120,56,120,120,69,120,120,120,61
