1490-2016,1487-2016,795-2016,1465-2016,209-2016,1470-2016,1479-2016,791-2016,1471-2016,1499-2016,218-2016,1469-2016,1494-2016,1498-2016,212-2016,793-2016,216-2016,582-2016,581-2016,790-2016,213-2016,580-2016,1362-2016,1497-2016,583-2016,585-2016,1269-2016,941-2016,219-2016,1161-2016,451-2016,1051-2016,1464-2016,1474-2016,794-2016,1540-2016,584-2016,431-2016,217-2016,1155-2016,1095-2016,1035-2016,1495-2016,1264-2016,1220-2016,210-2016,579-2016,1468-2016,976-2016,578-2016,133-2016,480-2016,1346-2016,1221-2016,796-2016,1467-2016,104-2016,361-2016,577-2016,215-2016,1222-2016,481-2016,1466-2016,1486-2016,576-2016,1267-2016,214-2016,938-2016,1502-2016,1223-2016,792-2016,829-2016,575-2016,211-2016,1496-2016,1217-2016,1003-2016,1459-2016,1303-2016,1294-2016,490-2016,961-2016,208-2016,1148-2016,67-2016,1457-2016,846-2016,237-2016,789-2016,342-2016,574-2016,726-2016,654-2016,729-2016,1249-2016,1026-2016,18-2016,207-2016,1121-2016,69-2016,1484-2016,1637-2016,1331-2016,596-2016,392-2016,131-2016,132-2016,1268-2016,939-2016,1093-2016,630-2016,1136-2016,1623-2016,1603-2016,430-2016,998-2016,416-2016,1101-2016,1463-2016,1240-2016,1216-2016,1050-2016,294-2016,1108-2016,1250-2016,724-2016,1576-2016,2-2016,1561-2016,573-2016,1462-2016,479-2016,220-2016,1219-2016,1488-2016,298-2016,15-2016,16-2016,206-2016,1354-2016,572-2016,205-2016,1460-2016,1461-2016,743-2016,478-2016,19-2016,1215-2016,103-2016,788-2016,571-2016,1458-2016,102-2016,66-2016,1025-2016,477-2016,1214-2016,433-2016,787-2016,562-2016,742-2016,204-2016,667-2016,101-2016,1042-2016,1456-2016,1266-2016,937-2016,744-2016,1159-2016,828-2016,476-2016,107-2016,827-2016,568-2016,203-2016,1218-2016,1455-2016,65-2016,293-2016
WaubesaPier6,WaubesaPier6,MendotaPier7,WaubesaPier5,KegonsaPier7,WaubesaPier5,WaubesaPier6,MendotaPier7,WaubesaPier5,WaubesaPier6,KegonsaPier7,WaubesaPier5,WaubesaPier6,WaubesaPier6,KegonsaPier7,MendotaPier7,KegonsaPier7,MendotaPier15,MendotaPier15,MendotaPier7,KegonsaPier7,MendotaPier15,WaubesaPier4,WaubesaPier6,MendotaPier15,MendotaPier15,MononaPier8,MononaBeach18,KegonsaPier7,MononaPier21,MendotaPier14,MononaPier1,WaubesaPier5,WaubesaPier6,MendotaPier7,WaubesaPier6,MendotaPier15,MendotaPark29,KegonsaPier7,MononaPier21,MononaPier12,MononaPier1,WaubesaPier6,MononaPier8,MononaPier21,KegonsaPier7,MendotaPier15,WaubesaPier5,MononaBeach5,MendotaPier15,KegonsaPier7,MendotaPier14,WaubesaPier4,MononaPier21,MendotaPier7,WaubesaPier5,KegonsaPier4,MendotaBeach13,MendotaPier15,KegonsaPier7,MononaPier21,MendotaPier14,WaubesaPier5,WaubesaPier6,MendotaPier15,MononaPier8,KegonsaPier7,MononaBeach18,WaubesaPier6,MononaPier21,MendotaPier7,MendotaPier8,MendotaPier15,KegonsaPier7,WaubesaPier6,MononaPier21,MononaPark2,WaubesaPier5,MononaPier9,MononaPier8,MendotaPier15,MononaBeach18,KegonsaPier7,MononaPier21,KegonsaPier1,WaubesaPier5,MendotaPier9,MendotaBeach1,MendotaPier7,MendotaBeach13,MendotaPier15,MendotaPier35,MendotaPier27,MendotaPier6,MononaPier6,MononaPark2,KegonsaPier1,KegonsaPier7,MononaPier14,KegonsaPier3,WaubesaPier6,WingraPier2,WaubesaPark9,MendotaPier16,MendotaBeach32,KegonsaPier6,KegonsaPier6,MononaPier8,MononaBeach18,MononaPier10,MendotaPier22,MononaPier15,WingraPark3,WingraBeach1,MendotaPark29,MononaPark19,MendotaBeach34,MononaPier12,WaubesaPier5,MononaPier24,MononaPier21,MononaPier1,MendotaBeach12,MononaPier13,MononaPier7,MendotaPier33,WaubesaPier8,KegonsaBeach2,WaubesaPier7,MendotaPier15,WaubesaPier5,MendotaPier14,MendotaPier3,MononaPier21,WaubesaPier6,MendotaBeach12,KegonsaPier1,KegonsaPier1,KegonsaPier7,WaubesaPier4,MendotaPier15,KegonsaPier7,WaubesaPier5,WaubesaPier5,MendotaPier6,MendotaPier14,KegonsaPier1,MononaPier21,KegonsaPier4,MendotaPier7,MendotaPier15,WaubesaPier5,KegonsaPier4,KegonsaPier1,MononaPark2,MendotaPier14,MononaPier21,MendotaPier10,MendotaPier7,MendotaPier15,MendotaPier6,KegonsaPier7,MendotaPier27,KegonsaPier4,MononaPier1,WaubesaPier5,MononaPier8,MononaBeach18,MendotaPier7,MononaPier21,MendotaPier8,MendotaPier14,KegonsaPier6,MendotaPier8,MendotaPier15,KegonsaPier7,MononaPier21,WaubesaPier5,KegonsaPier1,MendotaBeach12
Waubesa,Waubesa,Mendota,Waubesa,Kegonsa,Waubesa,Waubesa,Mendota,Waubesa,Waubesa,Kegonsa,Waubesa,Waubesa,Waubesa,Kegonsa,Mendota,Kegonsa,Mendota,Mendota,Mendota,Kegonsa,Mendota,Waubesa,Waubesa,Mendota,Mendota,Monona,Monona,Kegonsa,Monona,Mendota,Monona,Waubesa,Waubesa,Mendota,Waubesa,Mendota,Mendota,Kegonsa,Monona,Monona,Monona,Waubesa,Monona,Monona,Kegonsa,Mendota,Waubesa,Monona,Mendota,Kegonsa,Mendota,Waubesa,Monona,Mendota,Waubesa,Kegonsa,Mendota,Mendota,Kegonsa,Monona,Mendota,Waubesa,Waubesa,Mendota,Monona,Kegonsa,Monona,Waubesa,Monona,Mendota,Mendota,Mendota,Kegonsa,Waubesa,Monona,Monona,Waubesa,Monona,Monona,Mendota,Monona,Kegonsa,Monona,Kegonsa,Waubesa,Mendota,Mendota,Mendota,Mendota,Mendota,Mendota,Mendota,Mendota,Monona,Monona,Kegonsa,Kegonsa,Monona,Kegonsa,Waubesa,Wingra,Waubesa,Mendota,Mendota,Kegonsa,Kegonsa,Monona,Monona,Monona,Mendota,Monona,Wingra,Wingra,Mendota,Monona,Mendota,Monona,Waubesa,Monona,Monona,Monona,Mendota,Monona,Monona,Mendota,Waubesa,Kegonsa,Waubesa,Mendota,Waubesa,Mendota,Mendota,Monona,Waubesa,Mendota,Kegonsa,Kegonsa,Kegonsa,Waubesa,Mendota,Kegonsa,Waubesa,Waubesa,Mendota,Mendota,Kegonsa,Monona,Kegonsa,Mendota,Mendota,Waubesa,Kegonsa,Kegonsa,Monona,Mendota,Monona,Mendota,Mendota,Mendota,Mendota,Kegonsa,Mendota,Kegonsa,Monona,Waubesa,Monona,Monona,Mendota,Monona,Mendota,Mendota,Kegonsa,Mendota,Mendota,Kegonsa,Monona,Waubesa,Kegonsa,Mendota
5/1/16,5/3/16,5/4/16,5/6/16,5/6/16,5/7/16,5/7/16,5/8/16,5/8/16,5/8/16,5/9/16,5/9/16,5/9/16,5/11/16,5/11/16,5/11/16,5/12/16,5/14/16,5/15/16,5/15/16,5/16/16,5/16/16,5/17/16,5/17/16,5/17/16,5/18/16,5/18/16,5/18/16,5/18/16,5/18/16,5/18/16,5/18/16,5/18/16,5/18/16,5/18/16,5/19/16,5/19/16,5/19/16,5/19/16,5/19/16,5/19/16,5/19/16,5/20/16,5/20/16,5/20/16,5/20/16,5/20/16,5/20/16,5/20/16,5/21/16,5/21/16,5/21/16,5/21/16,5/21/16,5/21/16,5/21/16,5/21/16,5/21/16,5/22/16,5/22/16,5/22/16,5/22/16,5/22/16,5/22/16,5/23/16,5/23/16,5/23/16,5/23/16,5/23/16,5/23/16,5/24/16,5/24/16,5/24/16,5/24/16,5/24/16,5/24/16,5/24/16,5/24/16,5/25/16,5/25/16,5/25/16,5/25/16,5/25/16,5/25/16,5/25/16,5/25/16,5/26/16,5/26/16,5/26/16,5/26/16,5/26/16,5/26/16,5/26/16,5/26/16,5/26/16,5/26/16,5/26/16,5/26/16,5/26/16,5/26/16,5/26/16,5/26/16,5/26/16,5/26/16,5/26/16,5/26/16,5/26/16,5/26/16,5/26/16,5/26/16,5/26/16,5/26/16,5/26/16,5/26/16,5/26/16,5/26/16,5/26/16,5/26/16,5/26/16,5/26/16,5/26/16,5/26/16,5/26/16,5/26/16,5/26/16,5/26/16,5/26/16,5/26/16,5/26/16,5/27/16,5/27/16,5/27/16,5/27/16,5/27/16,5/27/16,5/27/16,5/27/16,5/27/16,5/27/16,5/27/16,5/28/16,5/28/16,5/28/16,5/28/16,5/28/16,5/28/16,5/28/16,5/28/16,5/28/16,5/28/16,5/29/16,5/29/16,5/29/16,5/29/16,5/29/16,5/29/16,5/29/16,5/29/16,5/29/16,5/30/16,5/30/16,5/30/16,5/30/16,5/30/16,5/30/16,5/30/16,5/30/16,5/30/16,5/30/16,5/30/16,5/30/16,5/30/16,5/30/16,5/31/16,5/31/16,5/31/16,5/31/16,5/31/16,5/31/16,5/31/16
18:02:00,17:30:00,19:49:00,13:41:00,14:11:00,15:26:00,17:50:00,9:59:00,15:09:00,18:45:00,8:20:00,13:47:00,14:09:00,8:56:00,10:50:00,19:51:00,9:47:00,10:00:00,7:48:00,11:43:00,8:35:00,9:50:00,8:53:00,12:02:00,18:04:00,6:57:00,7:37:00,7:42:00,8:20:00,11:00:00,12:24:00,13:25:00,16:31:00,17:03:00,18:21:00,7:52:00,8:07:00,8:59:00,9:48:00,10:00:00,12:44:00,13:08:00,7:08:00,8:07:00,9:00:00,9:14:00,10:39:00,13:22:00,16:41:00,7:10:00,8:45:00,8:55:00,9:10:00,10:15:00,10:20:00,11:44:00,16:11:00,19:24:00,7:50:00,8:05:00,10:30:00,10:58:00,11:20:00,16:56:00,8:00:00,8:20:00,8:25:00,8:35:00,9:26:00,10:30:00,6:35:00,6:42:00,7:03:00,8:40:00,9:39:00,9:45:00,11:06:00,13:27:00,6:44:00,7:20:00,7:25:00,7:35:00,8:55:00,9:02:00,9:25:00,9:35:00,6:41:00,7:26:00,7:37:00,7:45:00,7:55:00,8:12:00,8:13:00,8:15:00,8:15:00,8:21:00,8:30:00,8:40:00,8:40:00,8:50:00,8:55:00,8:55:00,9:10:00,9:11:00,9:17:00,9:22:00,9:22:00,9:30:00,9:40:00,9:59:00,10:11:00,10:25:00,10:30:00,10:33:00,10:34:00,10:40:00,11:03:00,11:03:00,11:07:00,11:49:00,11:50:00,11:55:00,12:00:00,13:26:00,14:29:00,16:10:00,17:18:00,18:30:00,22:03:00,8:00:00,8:41:00,9:49:00,9:59:00,10:00:00,10:23:00,10:40:00,11:00:00,11:00:00,13:56:00,16:05:00,8:17:00,9:03:00,9:10:00,9:10:00,9:20:00,9:44:00,10:45:00,10:45:00,11:20:00,13:58:00,8:33:00,9:31:00,9:40:00,9:45:00,9:47:00,10:17:00,11:00:00,18:30:00,19:32:00,6:43:00,7:55:00,7:59:00,8:12:00,8:28:00,8:30:00,8:50:00,9:00:00,9:10:00,9:17:00,9:45:00,10:23:00,10:32:00,11:40:00,7:07:00,7:49:00,7:50:00,8:30:00,9:09:00,10:45:00,16:55:00
1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,2,1,2,1,1,1,1,2,1,1,1,2,1,2,2,2,1,3,1,1,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,2,1,2,2,2,2,1,0,1,1,2,2,1,1,1,1,2,1,1,1,2,1,2,1,2,1,2,1,1,2,1,1,1,2,1,2,2,1,1,2,2,1,1,1,1,1,2,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,2,0,0,0,0,2,0,0,0,2,0,0,2,2,0,2,0,0,2,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,2,0,2,0,2,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,2,0,2,0,2,0,2,0,0,2,0,0,0,2,0,2,2,0,0,2,2,0,0,0,0,0,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
1,1,1,1,2,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,1,2,1,1,2,1,1,1,2,2,1,1,2,1,1,2,2,3,1,2,2,2,1,1,1,1,1,1,2,2,2,2,2,1,2,2,2,2,2,1,0,1,1,2,2,1,1,2,1,2,2,2,2,2,2,1,1,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,1,0,2,2,2,1,2,1,1,1,1,1,2,2,2,2,1,1,2,1,2,2,2,1,1,1,1,1,2,2,1,2,2,2,2,1,1,1,1,1,2,1,2,2,1,1,1,2,1,2,2,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,1,1,1,2,2,1,1,1
1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,2,1,3,1,2,1,3,2,1,1,1,3,2,3,1,1,1,0,1,1,3,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,3,2,2,1,0,1,1,1,1,1,1,2,2,1,2,0,1,1,1,2,1,3,1,1,2,1,1,1,2,3,1,1,1,1,1,2,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2
1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,2,1,2,1,1,1,1,1,0,2,1,2,1,1,2,3,1,2,2,1,1,1,2,2,1,1,1,1,3,1,2,1,1,1,1,1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,2,1,2,1,1,1,2,1,1,2,1,1,2,1,2,1,1,2
3,3,2,2,1,2,2,1,1,1,1,1,3,1,1,2,2,1,1,1,2,1,2,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,3,2,3,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,2,2,2,2,1,1,2,2,1,2,2,2,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,2,2,3,1,3,2,1,3,2,2,1,2,2,2,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,1,2,1,2,1
52.9,59,48.2,59.3,61.5,60.1,60.6,52.9,64.4,63.7,57.9,58.6,59.7,57.9,55.9,56.8,57.2,50,50,52.5,54,52,56.6,57.9,51,53,54.1,54.1,55.8,55,61.5,60.6,62.3,64.4,62.6,61.4,57,56.5,59,58.5,61.3,62.6,60.4,55.9,58.8,59,66,64.2,68.9,60,59,59.7,60.4,59.5,60.3,64.2,70.2,66.4,62,62.8,62.6,64.4,67.3,72.3,64,62.1,64.4,63.7,66,63.7,61.5,60.9,65,65.3,66.6,62.8,69.8,69.3,76.5,64.8,66,64.4,67.1,65.5,72.3,68.9,67,66.2,66.2,64.9,67,68,66.2,NA,67.5,70.5,70.2,66,71.1,66.6,68.3,73.4,71.8,65,68.4,66.2,NA,64.6,64.4,71.6,66.9,70.9,72.1,74.6,66.7,68,69.8,68.4,71.1,69.4,68,70.5,64.6,71.6,65.5,79.9,74.5,77.5,77,67,70.1,67.3,71.4,67.5,70.9,68,74.1,74.1,69.8,70.7,68,68.7,71.1,71.1,71.1,64.4,71.1,68.5,69.8,70.9,67,69.8,68,70.5,69.1,64.2,68,64.8,56.7,66,71.6,69.1,66.9,68.8,71.1,71.1,67.8,68,66.9,69.4,63.3,68,71.6,67.5,69,70.9,69.3,73.2,74.5,66
120,105,120,120,120,120,120,120,120,120,120,120,120,120,120,57.2,120,120,120,120,120,120,110,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,115,120,117,120,120,120,120,120,120,120,120,93,41,120,120,120,120,92,115,120,120,120,120,120,120,120,120,120,120,120,115,120,104,120,120,120,120,120,45,120,120,115,120,90,120,93.9,120,42,120,50,65,120,120,120,120,95,52,120,120,120,NA,120,120,68,120,120,60,120,120,120,120,120,120,113,120,120,111,120,120,61,117.5,51.5,75,120,120,120,120,120,120,120,65,65,120,120,84,120,120,120,22,120,19,120,120,63,120,120,120,37,13,120,120,86,120,120,37,120,120,120,120,120,120,120,120,120,120,120,95,120,120,120,120,120,56,83
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
