724-2017,837-2017,1761-2017,428-2017,429-2017,1577-2017,838-2017,430-2017,726-2017,1762-2017,1403-2017,1658-2017,1212-2017,839-2017,431-2017,1043-2017,50-2017,1404-2017,1659-2017,727-2017,1213-2017,840-2017,627-2017,432-2017,1405-2017,841-2017,433-2017,1214-2017,842-2017,434-2017,1763-2017,843-2017,728-2017,1215-2017,1660-2017,1406-2017,435-2017,844-2017,1407-2017,1661-2017,436-2017,845-2017,1605-2017,1216-2017,437-2017,1408-2017,846-2017,729-2017,1662-2017,1764-2017,438-2017,1409-2017,51-2017,730-2017,847-2017,1217-2017,1663-2017,1815-2017,1765-2017,439-2017,848-2017,1410-2017,849-2017,1766-2017,1219-2017,1220-2017,102-2017,731-2017,440-2017,850-2017,1411-2017,966-2017,441-2017,851-2017,1412-2017,103-2017,1767-2017,852-2017,1413-2017,442-2017,1551-2017,1125-2017,104-2017,443-2017,1414-2017,853-2017,732-2017,682-2017,683-2017,1664-2017,1768-2017,967-2017,444-2017,854-2017,105-2017,1769-2017,968-2017,445-2017,106-2017,52-2017,733-2017,1415-2017,1816-2017,855-2017,1221-2017,446-2017,856-2017,107-2017,1770-2017,1222-2017,447-2017,857-2017,108-2017,448-2017,858-2017,109-2017,1416-2017,449-2017,859-2017,734-2017,1417-2017,110-2017,969-2017,450-2017,451-2017,860-2017,111-2017,1418-2017,1223-2017,112-2017,452-2017,861-2017,1515-2017,1419-2017,1516-2017,953-2017,113-2017,702-2017,970-2017,1014-2017,1336-2017,628-2017,1580-2017,1798-2017,862-2017,1350-2017,1164-2017,1044-2017,453-2017,1817-2017,1552-2017,1126-2017,1771-2017,1224-2017,1593-2017,1172-2017,1665-2017,53-2017,1329-2017,1540-2017,234-2017,416-2017,8-2017,228-2017,1106-2017,1310-2017,1387-2017,373-2017,277-2017,1147-2017,1606-2017,1015-2017,454-2017,684-2017,685-2017,114-2017,1152-2017,863-2017,1666-2017,690-2017,9-2017,1772-2017,1016-2017,455-2017,971-2017,864-2017,115-2017,629-2017,10-2017,1225-2017,1667-2017,456-2017,11-2017,972-2017,865-2017,116-2017,1173-2017,1017-2017,65-2017,117-2017,1018-2017,735-2017,457-2017,866-2017,1420-2017,66-2017,1226-2017,802-2017,1581-2017,1668-2017,1351-2017,1019-2017,458-2017,1607-2017,118-2017,867-2017,402-2017,1517-2017,1669-2017,973-2017,1020-2017,686-2017,687-2017,459-2017,1799-2017,736-2017,119-2017,868-2017,1421-2017,12-2017,67-2017
MendotaPier31,MendotaPier35,WaubesaPier6,MendotaPier15,MendotaPier15,MononaPier9,MendotaPier35,MendotaPier15,MendotaPier31,WaubesaPier6,MononaPier21,WaubesaPier5,MononaPier1,MendotaPier35,MendotaPier15,MendotaPier9,KegonsaPier3,MononaPier21,WaubesaPier5,MendotaPier31,MononaPier1,MendotaPier35,MendotaPier2,MendotaPier15,MononaPier21,MendotaPier35,MendotaPier15,MononaPier1,MendotaPier35,MendotaPier15,WaubesaPier6,MendotaPier35,MendotaPier31,MononaPier1,WaubesaPier5,MononaPier21,MendotaPier15,MendotaPier35,MononaPier21,WaubesaPier5,MendotaPier15,MendotaPier35,WaubesaPier4,MononaPier1,MendotaPier15,MononaPier21,MendotaPier35,MendotaPier31,WaubesaPier5,WaubesaPier6,MendotaPier15,MononaPier21,KegonsaPier3,MendotaPier31,MendotaPier35,MononaPier1,WaubesaPier5,WaubesaPier8,WaubesaPier6,MendotaPier15,MendotaPier35,MononaPier21,MendotaPier35,WaubesaPier6,MononaPier1,MononaPier1,KegonsaPier7,MendotaPier31,MendotaPier15,MendotaPier35,MononaPier21,MendotaPier7,MendotaPier15,MendotaPier35,MononaPier21,KegonsaPier7,WaubesaPier6,MendotaPier35,MononaPier21,MendotaPier15,MononaPier8,MononaBeach18,KegonsaPier7,MendotaPier15,MononaPier21,MendotaPier35,MendotaPier31,MendotaPier22,MendotaPier22,WaubesaPier5,WaubesaPier6,MendotaPier7,MendotaPier15,MendotaPier35,KegonsaPier7,WaubesaPier6,MendotaPier7,MendotaPier15,KegonsaPier7,KegonsaPier3,MendotaPier31,MononaPier21,WaubesaPier8,MendotaPier35,MononaPier1,MendotaPier15,MendotaPier35,KegonsaPier7,WaubesaPier6,MononaPier1,MendotaPier15,MendotaPier35,KegonsaPier7,MendotaPier15,MendotaPier35,KegonsaPier7,MononaPier21,MendotaPier15,MendotaPier35,MendotaPier31,MononaPier21,KegonsaPier7,MendotaPier7,MendotaPier15,MendotaPier15,MendotaPier35,KegonsaPier7,MononaPier21,MononaPier1,KegonsaPier7,MendotaPier15,MendotaPier35,MononaPier6,MononaPier21,MononaPier6,MendotaPier6,KegonsaPier7,MendotaPier27,MendotaPier7,MendotaPier8,MononaPier14,MendotaPier2,WaubesaBeach1,WaubesaPier7,MendotaPier35,MononaPier15,MononaPark19,MendotaPier9,MendotaPier15,WaubesaPier8,MononaPier8,MononaBeach18,WaubesaPier6,MononaPier1,WaubesaPark9,MononaPark2,WaubesaPier5,KegonsaPier3,MononaPier13,MononaPier7,MendotaBeach1,MendotaPier11,KegonsaPier1,Mendota3,MononaBeach17,MononaPier10,MononaPier20,MendotaBeach34,MendotaBeach13,MononaBeach5,WaubesaPier4,MendotaPier8,MendotaPier15,MendotaPier22,MendotaPier22,KegonsaPier7,MononaPark12,MendotaPier35,WaubesaPier5,MendotaPier26,KegonsaPier1,WaubesaPier6,MendotaPier8,MendotaPier15,MendotaPier7,MendotaPier35,KegonsaPier7,MendotaPier2,KegonsaPier1,MononaPier1,WaubesaPier5,MendotaPier15,KegonsaPier1,MendotaPier7,MendotaPier35,KegonsaPier7,MononaPark2,MendotaPier8,KegonsaPier4,KegonsaPier7,MendotaPier8,MendotaPier31,MendotaPier15,MendotaPier35,MononaPier21,KegonsaPier4,MononaPier1,MendotaPier33,WaubesaBeach1,WaubesaPier5,MononaPier15,MendotaPier8,MendotaPier15,WaubesaPier4,KegonsaPier7,MendotaPier35,MendotaPier10,MononaPier6,WaubesaPier5,MendotaPier7,MendotaPier8,MendotaPier22,MendotaPier22,MendotaPier15,WaubesaPier7,MendotaPier31,KegonsaPier7,MendotaPier35,MononaPier21,KegonsaPier1,KegonsaPier4
Mendota,Mendota,Waubesa,Mendota,Mendota,Monona,Mendota,Mendota,Mendota,Waubesa,Monona,Waubesa,Monona,Mendota,Mendota,Mendota,Kegonsa,Monona,Waubesa,Mendota,Monona,Mendota,Mendota,Mendota,Monona,Mendota,Mendota,Monona,Mendota,Mendota,Waubesa,Mendota,Mendota,Monona,Waubesa,Monona,Mendota,Mendota,Monona,Waubesa,Mendota,Mendota,Waubesa,Monona,Mendota,Monona,Mendota,Mendota,Waubesa,Waubesa,Mendota,Monona,Kegonsa,Mendota,Mendota,Monona,Waubesa,Waubesa,Waubesa,Mendota,Mendota,Monona,Mendota,Waubesa,Monona,Monona,Kegonsa,Mendota,Mendota,Mendota,Monona,Mendota,Mendota,Mendota,Monona,Kegonsa,Waubesa,Mendota,Monona,Mendota,Monona,Monona,Kegonsa,Mendota,Monona,Mendota,Mendota,Mendota,Mendota,Waubesa,Waubesa,Mendota,Mendota,Mendota,Kegonsa,Waubesa,Mendota,Mendota,Kegonsa,Kegonsa,Mendota,Monona,Waubesa,Mendota,Monona,Mendota,Mendota,Kegonsa,Waubesa,Monona,Mendota,Mendota,Kegonsa,Mendota,Mendota,Kegonsa,Monona,Mendota,Mendota,Mendota,Monona,Kegonsa,Mendota,Mendota,Mendota,Mendota,Kegonsa,Monona,Monona,Kegonsa,Mendota,Mendota,Monona,Monona,Monona,Mendota,Kegonsa,Mendota,Mendota,Mendota,Monona,Mendota,Waubesa,Waubesa,Mendota,Monona,Monona,Mendota,Mendota,Waubesa,Monona,Monona,Waubesa,Monona,Waubesa,Monona,Waubesa,Kegonsa,Monona,Monona,Mendota,Mendota,Kegonsa,Mendota,Monona,Monona,Monona,Mendota,Mendota,Monona,Waubesa,Mendota,Mendota,Mendota,Mendota,Kegonsa,Monona,Mendota,Waubesa,Mendota,Kegonsa,Waubesa,Mendota,Mendota,Mendota,Mendota,Kegonsa,Mendota,Kegonsa,Monona,Waubesa,Mendota,Kegonsa,Mendota,Mendota,Kegonsa,Monona,Mendota,Kegonsa,Kegonsa,Mendota,Mendota,Mendota,Mendota,Monona,Kegonsa,Monona,Mendota,Waubesa,Waubesa,Monona,Mendota,Mendota,Waubesa,Kegonsa,Mendota,Mendota,Monona,Waubesa,Mendota,Mendota,Mendota,Mendota,Mendota,Waubesa,Mendota,Kegonsa,Mendota,Monona,Kegonsa,Kegonsa
5/1/17,5/1/17,5/1/17,5/1/17,5/2/17,5/2/17,5/2/17,5/3/17,5/3/17,5/3/17,5/3/17,5/3/17,5/3/17,5/3/17,5/4/17,5/4/17,5/4/17,5/4/17,5/4/17,5/4/17,5/4/17,5/4/17,5/4/17,5/5/17,5/5/17,5/5/17,5/6/17,5/6/17,5/6/17,5/7/17,5/7/17,5/7/17,5/7/17,5/7/17,5/7/17,5/7/17,5/8/17,5/8/17,5/8/17,5/8/17,5/9/17,5/9/17,5/9/17,5/9/17,5/10/17,5/10/17,5/10/17,5/10/17,5/10/17,5/10/17,5/11/17,5/11/17,5/11/17,5/11/17,5/11/17,5/11/17,5/11/17,5/11/17,5/11/17,5/12/17,5/12/17,5/12/17,5/12/17,5/12/17,5/12/17,5/13/17,5/13/17,5/13/17,5/13/17,5/13/17,5/13/17,5/13/17,5/14/17,5/14/17,5/14/17,5/15/17,5/15/17,5/15/17,5/15/17,5/15/17,5/16/17,5/16/17,5/16/17,5/16/17,5/16/17,5/16/17,5/16/17,5/16/17,5/16/17,5/16/17,5/16/17,5/16/17,5/17/17,5/17/17,5/17/17,5/17/17,5/18/17,5/18/17,5/18/17,5/18/17,5/18/17,5/18/17,5/18/17,5/18/17,5/18/17,5/19/17,5/19/17,5/19/17,5/19/17,5/19/17,5/20/17,5/20/17,5/20/17,5/21/17,5/21/17,5/21/17,5/21/17,5/22/17,5/22/17,5/22/17,5/22/17,5/22/17,5/22/17,5/23/17,5/23/17,5/23/17,5/23/17,5/23/17,5/23/17,5/24/17,5/24/17,5/24/17,5/24/17,5/25/17,5/25/17,5/25/17,5/25/17,5/25/17,5/25/17,5/25/17,5/25/17,5/25/17,5/25/17,5/25/17,5/25/17,5/25/17,5/25/17,5/25/17,5/25/17,5/25/17,5/25/17,5/25/17,5/25/17,5/25/17,5/25/17,5/25/17,5/25/17,5/25/17,5/25/17,5/25/17,5/25/17,5/25/17,5/25/17,5/25/17,5/25/17,5/25/17,5/25/17,5/25/17,5/25/17,5/25/17,5/25/17,5/26/17,5/26/17,5/26/17,5/26/17,5/26/17,5/26/17,5/26/17,5/26/17,5/26/17,5/26/17,5/26/17,5/27/17,5/27/17,5/27/17,5/27/17,5/27/17,5/27/17,5/27/17,5/27/17,5/27/17,5/28/17,5/28/17,5/28/17,5/28/17,5/28/17,5/28/17,5/28/17,5/28/17,5/29/17,5/29/17,5/29/17,5/29/17,5/29/17,5/29/17,5/29/17,5/29/17,5/29/17,5/29/17,5/29/17,5/29/17,5/30/17,5/30/17,5/30/17,5/30/17,5/30/17,5/30/17,5/30/17,5/30/17,5/30/17,5/31/17,5/31/17,5/31/17,5/31/17,5/31/17,5/31/17,5/31/17,5/31/17,5/31/17,5/31/17,5/31/17
10:31:00,13:49:00,16:22:00,20:54:00,6:49:00,10:03:00,16:20:00,6:12:00,8:39:00,9:43:00,10:49:00,13:37:00,13:45:00,14:59:00,8:10:00,9:23:00,9:50:00,10:15:00,10:36:00,11:50:00,12:45:00,14:30:00,15:05:00,6:43:00,10:40:00,15:30:00,8:00:00,12:00:00,16:03:00,7:32:00,8:15:00,9:30:00,10:05:00,11:30:00,16:13:00,18:32:00,8:12:00,9:45:00,11:00:00,14:22:00,8:39:00,10:57:00,16:15:00,17:35:00,7:50:00,8:54:00,9:30:00,10:20:00,13:47:00,14:24:00,7:33:00,9:44:00,9:55:00,11:25:00,12:00:00,13:00:00,13:55:00,16:00:00,17:25:00,7:15:00,8:23:00,9:55:00,16:00:00,19:17:00,19:20:00,9:50:00,10:10:00,10:35:00,11:46:00,12:30:00,15:33:00,16:02:00,7:35:00,8:53:00,10:57:00,9:01:00,9:08:00,9:24:00,9:25:00,11:48:00,8:01:00,8:03:00,8:20:00,8:33:00,10:28:00,10:45:00,10:55:00,13:46:00,13:58:00,14:33:00,16:59:00,18:34:00,8:21:00,9:33:00,11:19:00,12:06:00,7:48:00,8:07:00,9:04:00,9:07:00,9:45:00,10:31:00,10:52:00,14:30:00,17:55:00,7:05:00,8:10:00,8:42:00,17:33:00,20:00:00,8:26:00,8:36:00,8:55:00,8:02:00,8:39:00,9:38:00,9:40:00,7:55:00,8:11:00,8:39:00,9:44:00,12:30:00,17:23:00,7:52:00,7:52:00,8:00:00,8:10:00,10:43:00,13:30:00,8:19:00,8:28:00,8:30:00,14:50:00,6:03:00,6:30:00,6:48:00,7:08:00,7:32:00,7:44:00,7:44:00,8:06:00,8:20:00,8:44:00,8:44:00,8:49:00,8:50:00,8:57:00,9:00:00,9:07:00,9:14:00,9:16:00,9:17:00,10:09:00,10:55:00,11:00:00,11:03:00,11:30:00,11:54:00,11:59:00,12:31:00,12:32:00,12:42:00,13:10:00,13:15:00,13:44:00,14:00:00,14:04:00,14:26:00,14:30:00,15:27:00,16:10:00,6:39:00,7:00:00,7:25:00,7:34:00,7:43:00,8:30:00,9:00:00,10:01:00,11:03:00,14:00:00,16:39:00,6:31:00,6:38:00,8:22:00,8:30:00,8:33:00,9:40:00,11:51:00,12:30:00,13:21:00,8:24:00,9:00:00,9:07:00,9:25:00,9:31:00,11:48:00,15:56:00,18:30:00,7:18:00,7:57:00,8:12:00,8:34:00,9:33:00,9:33:00,11:29:00,11:45:00,12:08:00,12:55:00,13:15:00,17:28:00,5:50:00,7:30:00,8:05:00,8:24:00,9:00:00,9:30:00,9:37:00,14:55:00,18:13:00,6:35:00,7:14:00,7:24:00,7:38:00,7:46:00,8:30:00,8:48:00,9:00:00,9:26:00,11:00:00,18:10:00
1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,3,3,2,2,1,3,1,1,2,2,2,1,3,1,1,1,1,2,2,1,1,1,2,1,1,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,2,2,2,0,2,0,0,2,2,2,0,2,0,0,0,0,2,2,0,0,0,2,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,2,3,1,1,2,1,1,2,1,1,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,3,2,1,1,1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2
3,3,1,2,2,3,2,2,2,1,1,1,1,2,2,2,1,1,1,2,1,1,2,2,1,1,2,1,1,2,1,1,3,1,1,1,2,1,1,1,3,3,1,1,3,1,3,3,1,1,3,1,1,3,3,1,1,1,1,2,3,1,3,1,1,1,1,1,2,3,1,1,2,2,1,1,1,2,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,2,3,2,1,1,1,1,1,2,1,1,1,3,1,1,1,2,1,1,1,1,1,1,3,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,1,3,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,2,1
1,3,1,2,1,1,2,2,3,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,2,1,2,2,1,1,1,1,2,1,2,2,1,1,1,1,1,2,1,1,1,2,2,1,2,1,2,1,1,1,1,1,1,1,2,2,1,2,1,2,1,1,1,1,1,1,2,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,3,2,2,1,1,1,2,1,2,1,1,3,2,1,1,1,1,2,1,1,1,1,2,2,1,3,1,1,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1
1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,1,1,2,1,2,3,1,1,2,1,2,3,2,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,1,1,1,1,1,1,2,1,1,1,1,2,1,1,2,2,2,3,3,2,2,1,1,2,2,2,1,2,3,3,2,2,2,1,2,3,1,3,1,1,2,3,2,3,2,2,1,2,2,2,1,1,1,1,1,1,2,1,1,2,2,2,2,2,1,1,1,1,1,1,2,1,1,2,1,1,2,1,2,3,2,1,1,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,3,3,2,3,2,3,3,2,1,2,2,2,2,1,1,3,1,1,1,1,2,2,2,3,2,2,2,2
48.6,48.6,54.1,48,48,51,49.1,47,48.2,53.3,51.3,53.6,54.9,55,53,53,54,51.3,54.3,50.1,53.6,54,53.6,53,51.3,51.4,54,58.3,53.1,51,56.5,48.4,54,55,60.3,58.1,51,48.6,54.7,59.7,55,52.2,56.7,55.8,55,54.1,55,55.5,59.3,60.1,56,55.4,60.1,60.2,59,60.5,61.3,63.5,65.7,56,57.2,59,63.3,66.7,66.2,57.2,61.2,58.2,60,56.7,64.8,54.9,60,55.6,60.8,60.8,63.7,57.7,59.7,63,59.7,60.7,60.8,63,62.1,60.8,63.4,66.9,67.8,66.9,68.4,68,62,63.7,63.3,67.5,61.9,62,61.9,63.1,63.2,59.9,64.8,64.1,67.3,60,55.9,60.1,61.8,58.3,55,50.5,59,56,55.2,59.7,57.9,54,53.6,55.2,56.3,59,56.1,55,55,56.1,59.2,59,61.3,58.6,58,56.1,57.2,55.9,56.7,57,57.2,56.1,56.1,55.8,56.3,55.4,64.1,58.3,54.7,58.5,57.4,56,57,58.5,57.2,56.9,59,57.9,60.6,59,61.3,59.4,61,58.2,58.3,56.8,63.5,51.8,64.4,65.4,61.2,67.1,62.4,71.1,63.9,59.9,61,60.4,60.4,60.1,59,57.9,63.1,59.2,63.5,62.6,59,60,60.1,58.3,59,60.1,61.9,64.2,65.5,61,66.2,60.1,59,64.9,68,67.3,63.9,62.4,57.2,57.1,59,60.8,61.5,64.4,65.1,63.4,63.4,64.9,63.7,55.4,56,62.2,60.8,60.3,57.2,62.2,64.2,57.9,55.8,55.4,55.4,56,61,54.3,60.6,60.3,59,63.7,66.6
65,64,120,67,65,96,84,80,103,120,120,120,120,115,78,88,120,120,120,95,120,95,81,46,120,102,45,120,112,50,120,115,54,120,120,120,45,115,120,120,36,56,120,120,40,120,78,35,120,120,36,120,120,37,40,120,120,120,120,58,54,120,54,120,120,120,120,80,62,52,120,120,60,70,120,120,120,70,120,42,120,120,120,75,120,83,120,101,91,120,120,120,100,37,120,120,120,120,120,120,120,120,72,76.5,68,120,120,120,110,120,55,120,120,120,64,120,120,120,96,120,120,120,120,120,120,91,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,129,120,120,120,89.6,120,120,120,120,120,120,120,120,120,120,120,150,120,120,120,120,11,120,120,120,120,120,110,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,89,120,120,120,120,120,120,120,95,110,120,74,105,119.3,120,120,120,120,120,120,116,120,120,115,120,120,120,120,120,120,120,120,116,119,85,120
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
